freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.728e+01,4.017e+01,6.091e+02,7.366e+02
1.5,1.708e+02,5.638e+01,3.739e+02,6.010e+02
3.0,1.693e+02,4.825e+01,5.556e+01,2.732e+02
4.5,1.742e+02,5.321e+01,2.973e+02,5.248e+02
6.0,2.187e+02,5.621e+01,1.146e+03,1.421e+03
7.4,2.102e+02,5.730e+01,1.950e+03,2.218e+03
8.9,1.922e+02,5.515e+01,2.820e+03,3.067e+03
10.4,1.857e+02,5.773e+01,3.921e+03,4.165e+03
11.9,2.054e+02,5.578e+01,5.215e+03,5.476e+03
13.4,2.195e+02,5.080e+01,6.744e+03,7.015e+03
14.9,2.280e+02,5.104e+01,8.654e+03,8.933e+03
16.4,2.263e+02,5.830e+01,1.125e+04,1.154e+04
17.9,2.537e+02,6.492e+01,1.453e+04,1.485e+04
19.3,2.544e+02,6.265e+01,1.794e+04,1.825e+04
20.8,2.600e+02,7.782e+01,2.180e+04,2.214e+04
22.3,2.779e+02,1.087e+02,2.610e+04,2.649e+04
23.8,2.868e+02,1.308e+02,3.076e+04,3.118e+04
25.3,3.616e+02,1.049e+02,3.581e+04,3.628e+04
26.8,4.557e+02,7.648e+01,4.005e+04,4.058e+04
28.3,4.505e+02,6.348e+01,4.082e+04,4.133e+04
29.8,5.169e+02,5.860e+01,3.983e+04,4.041e+04
31.2,6.536e+02,6.257e+01,4.209e+04,4.280e+04
32.7,7.516e+02,6.201e+01,4.498e+04,4.580e+04
34.2,8.027e+02,6.965e+01,4.646e+04,4.733e+04
35.7,6.484e+02,6.395e+01,5.028e+04,5.099e+04
37.2,4.911e+02,5.620e+01,6.034e+04,6.089e+04
38.7,6.193e+02,6.321e+01,8.376e+04,8.445e+04
40.2,1.186e+03,1.066e+02,1.077e+05,1.090e+05
41.7,1.562e+03,2.003e+02,8.742e+04,8.918e+04
43.2,1.964e+03,2.418e+02,7.072e+04,7.293e+04
44.6,3.260e+03,3.539e+02,8.591e+04,8.952e+04
46.1,5.652e+03,7.372e+02,1.100e+05,1.163e+05
47.6,5.353e+03,9.617e+02,1.298e+05,1.361e+05
49.1,3.320e+03,8.133e+02,1.525e+05,1.566e+05
50.6,3.131e+03,6.360e+02,1.811e+05,1.848e+05
52.1,3.013e+03,5.138e+02,2.002e+05,2.038e+05
53.6,2.459e+03,3.283e+02,2.221e+05,2.249e+05
55.1,2.296e+03,2.336e+02,2.459e+05,2.484e+05
56.5,2.268e+03,2.452e+02,2.770e+05,2.796e+05
58.0,2.721e+03,1.892e+02,3.416e+05,3.445e+05
59.5,6.319e+03,1.215e+02,4.856e+05,4.921e+05
61.0,1.691e+04,1.228e+02,7.374e+05,7.544e+05
62.5,2.786e+04,1.940e+02,9.525e+05,9.805e+05
64.0,4.835e+04,1.037e+03,1.080e+06,1.129e+06
65.5,8.654e+04,4.631e+03,1.131e+06,1.222e+06
67.0,1.331e+05,1.247e+04,1.173e+06,1.318e+06
68.4,1.752e+05,2.353e+04,1.400e+06,1.599e+06
69.9,1.694e+05,2.797e+04,2.004e+06,2.201e+06
71.4,1.312e+05,2.289e+04,2.769e+06,2.923e+06
72.9,1.644e+05,3.168e+04,2.875e+06,3.071e+06
74.4,2.295e+05,5.129e+04,2.415e+06,2.696e+06
75.9,2.718e+05,7.146e+04,1.972e+06,2.315e+06
77.4,3.102e+05,9.673e+04,1.656e+06,2.063e+06
78.9,3.822e+05,1.496e+05,1.421e+06,1.953e+06
80.3,4.283e+05,2.090e+05,1.333e+06,1.970e+06
81.8,3.870e+05,2.331e+05,1.391e+06,2.012e+06
83.3,2.811e+05,2.080e+05,1.404e+06,1.893e+06
84.8,1.831e+05,1.592e+05,1.260e+06,1.603e+06
86.3,1.491e+05,1.336e+05,1.087e+06,1.370e+06
87.8,1.527e+05,1.494e+05,1.037e+06,1.339e+06
89.3,1.228e+05,1.476e+05,1.011e+06,1.282e+06
90.8,8.680e+04,1.287e+05,9.465e+05,1.162e+06
92.3,5.419e+04,1.035e+05,8.847e+05,1.042e+06
93.7,3.129e+04,7.827e+04,8.226e+05,9.322e+05
95.2,2.170e+04,6.287e+04,7.348e+05,8.194e+05
96.7,1.626e+04,5.307e+04,6.529e+05,7.222e+05
98.2,1.210e+04,4.579e+04,5.912e+05,6.491e+05
99.7,8.951e+03,3.936e+04,5.338e+05,5.821e+05
101.2,6.433e+03,3.538e+04,4.846e+05,5.264e+05
102.7,4.975e+03,3.432e+04,4.521e+05,4.914e+05
104.2,4.041e+03,3.333e+04,4.290e+05,4.663e+05
105.6,3.159e+03,3.206e+04,4.084e+05,4.437e+05
107.1,2.617e+03,3.155e+04,3.911e+05,4.252e+05
108.6,2.209e+03,3.141e+04,3.696e+05,4.032e+05
110.1,1.739e+03,3.167e+04,3.472e+05,3.807e+05
111.6,1.400e+03,3.273e+04,3.405e+05,3.746e+05
113.1,1.159e+03,3.245e+04,3.338e+05,3.674e+05
114.6,9.029e+02,3.184e+04,3.241e+05,3.568e+05
116.1,7.702e+02,3.128e+04,3.077e+05,3.397e+05
117.5,6.561e+02,3.138e+04,2.990e+05,3.310e+05
119.0,4.918e+02,3.152e+04,2.956e+05,3.276e+05
120.5,4.826e+02,3.222e+04,2.969e+05,3.296e+05
122.0,1.520e+03,3.628e+04,2.929e+05,3.307e+05
123.5,2.822e+03,4.063e+04,2.877e+05,3.312e+05
125.0,1.184e+03,3.503e+04,2.797e+05,3.159e+05
126.5,6.181e+02,3.197e+04,2.667e+05,2.993e+05
128.0,8.261e+02,2.888e+04,2.526e+05,2.823e+05
129.5,8.541e+02,2.651e+04,2.456e+05,2.729e+05
130.9,8.028e+02,2.459e+04,2.332e+05,2.585e+05
132.4,6.395e+02,1.645e+04,1.520e+05,1.691e+05
133.9,4.780e+02,3.692e+03,2.403e+04,2.820e+04
135.4,5.778e+02,2.717e+03,3.762e+03,7.057e+03
136.9,7.449e+02,4.255e+03,3.761e+03,8.761e+03
138.4,1.021e+03,5.292e+03,4.252e+03,1.056e+04
139.9,1.446e+03,5.421e+03,4.686e+03,1.155e+04
141.4,2.212e+03,4.175e+03,5.164e+03,1.155e+04
142.8,2.801e+03,2.615e+03,5.341e+03,1.076e+04
144.3,2.957e+03,1.956e+03,4.850e+03,9.763e+03
145.8,3.112e+03,1.485e+03,3.694e+03,8.291e+03
147.3,3.075e+03,1.338e+03,3.044e+03,7.457e+03
148.8,2.828e+03,1.633e+03,2.905e+03,7.366e+03
150.3,2.373e+03,3.337e+03,2.926e+03,8.637e+03
151.8,1.699e+03,2.566e+03,3.076e+03,7.341e+03
153.3,1.319e+03,1.155e+03,3.428e+03,5.901e+03
154.7,8.961e+02,1.098e+03,3.523e+03,5.517e+03
156.2,7.343e+02,9.598e+02,3.594e+03,5.288e+03
157.7,6.049e+02,8.249e+02,3.537e+03,4.967e+03
159.2,6.038e+02,8.621e+02,3.283e+03,4.749e+03
160.7,6.300e+02,7.414e+02,2.923e+03,4.295e+03
162.2,7.640e+02,6.031e+02,2.689e+03,4.057e+03
163.7,9.255e+02,4.813e+02,2.614e+03,4.021e+03
165.2,1.112e+03,5.502e+02,2.579e+03,4.241e+03
166.6,1.195e+03,7.134e+02,2.914e+03,4.823e+03
168.1,1.093e+03,8.833e+02,3.478e+03,5.454e+03
169.6,9.136e+02,1.270e+03,4.158e+03,6.341e+03
171.1,9.914e+02,1.318e+03,4.733e+03,7.042e+03
172.6,8.280e+02,6.239e+02,4.680e+03,6.132e+03
174.1,6.399e+02,8.241e+02,4.750e+03,6.214e+03
175.6,5.499e+02,9.794e+02,4.953e+03,6.482e+03
177.1,6.266e+02,6.164e+02,4.888e+03,6.131e+03
178.6,7.020e+02,6.833e+02,4.696e+03,6.081e+03
180.0,6.449e+02,6.680e+02,4.743e+03,6.056e+03
181.5,6.274e+02,6.422e+02,5.204e+03,6.474e+03
183.0,8.296e+02,4.756e+02,5.364e+03,6.669e+03
184.5,9.289e+02,4.403e+02,4.829e+03,6.198e+03
186.0,8.596e+02,5.291e+02,4.036e+03,5.425e+03
187.5,7.187e+02,3.895e+02,3.307e+03,4.416e+03
189.0,6.461e+02,2.569e+02,3.154e+03,4.058e+03
190.5,5.713e+02,2.908e+02,3.721e+03,4.584e+03
191.9,5.394e+02,2.987e+02,3.867e+03,4.705e+03
193.4,5.192e+02,2.327e+02,3.243e+03,3.995e+03
194.9,5.396e+02,1.828e+02,2.656e+03,3.379e+03
196.4,5.459e+02,1.668e+02,2.392e+03,3.105e+03
197.9,6.094e+02,1.908e+02,2.755e+03,3.555e+03
199.4,7.483e+02,2.770e+02,3.110e+03,4.135e+03
